new_code,original_code,nom,grp_id,grp_label,source
30000,0,Unknown,39,Autres,OSO
30001,1,Bâtis denses,34,Surface imperméables,OSO
30002,2,Bâtis diffus,34,Surface imperméables,OSO
30003,3,Zones industrielles et commerciales,34,Surface imperméables,OSO
30004,4,Surfaces routes,34,Surface imperméables,OSO
30005,5,Colza,5,Colza,OSO
30006,6,Céréales à pailles,4,Autres céréales,OSO
30007,7,Protéagineux,8,Protéagineux,OSO
30008,8,Soja,7,Autres oléagineux,OSO
30009,9,Tournesol,6,Tournesol,OSO
30010,10,Maïs,2,Maïs,OSO
30011,11,Riz,4,Autres céréales,OSO
30012,12,Tubercules/racines,28,Divers,OSO
30013,13,Prairies,18,Prairies permanentes,OSO
30014,14,Vergers,20,Vergers,OSO
30015,15,Vignes,21,Vignes,OSO
30016,16,Forêts de feuillus,31,Forêts de feuillus,OSO
30017,17,Forêts de conifères,32,Forêts de conifères,OSO
30018,18,Pelouses,33,Pelouses,OSO
30019,19,Landes ligneuses,17,Estives et landes,OSO
30020,20,Surfaces minérales,35,Surfaces minérales,OSO
30021,21,Plages et dunes,36,Plages et dunes,OSO
30022,22,Glaciers ou neiges,37,Glaciers ou neiges,OSO
30023,23,Eau,38,Eau,OSO
30255,255,Autres,39,Autres,OSO
20000,0,Autres,39,Autres,OSO_old
20010,10,Cultures,30,Cultures d’été,OSO_old
